No,Type,Group,Word Template,Template Page No,{{ substation.name_erms }},{{ substation.time }},{{ substation.date }},{{ substation.ambient }},{{ substation.humidity }},{{ swg.area }},{{ panel.linknumber }},{{ panel.name }},{{ panel.cabletype }},{{ panel.breakerstatus }},{{ panel.busbarposition }},{{ panel.loadamp }},{{ panel.heateramp }},{{ swg.serialnumber }},{{ swg.manufacturer }},{{ swg.type }},{{ swg.rating }},{{ swg.model }},{{ tx1.manufacturer }},{{ tx1.model }},{{ tx1.rating }},{{ tx1.serialnumber }},{{ tx2.manufacturer }},{{ tx2.model }},{{ tx2.rating }},{{ tx2.serialnumber }},{{ fp1.manufacturer }},{{ fp1.model }},{{ fp1.rating }},{{ fp1.serialnumber }},{{ fp1.labelsource }},{{ fp2.manufacturer }},{{ fp2.model }},{{ fp2.rating }},{{ fp2.serialnumber }},{{ fp2.labelsource }},{{ batt1.manufacturer }},{{ batt1.model }},{{ batt1.serialnumber }},{{ batt2.manufacturer }},{{ batt2.model }},{{ batt2.serialnumber }},{{ batt3.manufacturer }},{{ batt3.model }},{{ batt3.serialnumber }},{{ batt4.manufacturer }},{{ batt4.model }},{{ batt4.serialnumber }},Field Overrides,Output File Name,Attribute,Folder,Image File Name
11,Panel3,1,02. swg-panel.docx,11,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,CCH00324,SPARE,-,TRIP,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page11,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,21.jpg
11,Panel3,1,02. swg-panel.docx,11,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,CCH00324,SPARE,-,TRIP,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page11,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,22.jpg
12,Panel3,1,02. swg-panel.docx,12,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE ENTRY,CCH00324,SPARE,-,TRIP,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page12,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,23.jpg
12,Panel3,1,02. swg-panel.docx,12,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE ENTRY,CCH00324,SPARE,-,TRIP,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page12,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,24.jpg
13,Panel4,1,02. swg-panel.docx,13,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,CCH00325,KE ALATUBAH 1,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page13,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,25.jpg
13,Panel4,1,02. swg-panel.docx,13,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,CCH00325,KE ALATUBAH 1,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page13,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,26.jpg
14,Panel4,1,02. swg-panel.docx,14,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE ENTRY,CCH00325,KE ALATUBAH 1,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page14,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,27.jpg
14,Panel4,1,02. swg-panel.docx,14,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE ENTRY,CCH00325,KE ALATUBAH 1,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page14,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,28.jpg
15,Panel5,1,02. swg-panel.docx,15,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,,,,,,,,,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page15,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,29.jpg
15,Panel5,1,02. swg-panel.docx,15,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,,,,,,,,,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page15,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,30.jpg
